FILENAME,PEPMASS,CHARGE,UNPD_ID,MOLECULAR_FORMULA,IONMODE,EXACTMASS,NAME,SMILES,INCHI,INCHIAUX,SCANS,MZ,INTENSITY
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,57.07042529,0.7697591662
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,71.08607535,1.507457981
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,97.06533991,0.4893302623
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,99.08098997,0.4737337839
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,137.09664,0.498920401
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,165.0915547,0.4243093978
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,167.1072047,0.4260253418
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,193.0864693,0.5527841513
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,195.1021193,0.6521082609
PMA_000001,331.1903853,1+,UNPD1,C20H26O4,Positive,330.1831093,UNPD1,CC(C)C1CC(=O)C(=CCC=C(C)/CC(=O)CC2=CC1OC2=O)C,"InChI=1/C20H26O4/c1-12(2)17-11-18(22)14(4)7-5-6-13(3)8-16(21)9-15-10-19(17)24-20(15)23/h6-7,10,12,17,19H,5,8-9,11H2,1-4H3/b13-6-,14-7+/t17-,19-/m1/s1",XYKVOCNWMFQQKL-NZBROFJPSA-N,1,233.1177694,0.5520851484
