FILENAME,PEPMASS,CHARGE,UNPD_ID,MOLECULAR_FORMULA,IONMODE,EXACTMASS,NAME,SMILES,INCHI,INCHIAUX,SCANS,MZ,INTENSITY
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,451.3212202,0.6505330945
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,453.3368703,12.91370513
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,455.3525204,0.5936094579
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,471.347435,13.50522402
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,597.379129,0.8027157452
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,615.3896937,2.807904142
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,633.4002584,1.597081285
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,721.4526879,0.6366457095
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,729.4213878,2.12864556
PMA_090115,897.4842269,1+,UNPD182224,C46H72O17,Positive,896.4769509,UNPD182224,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC8OCC(O)C(O)C8O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CC(O)C29CC1OC9=O,"InChI=1/C46H72O17/c1-41(2)14-21-20-8-9-26-43(5)12-11-28(42(3,4)25(43)10-13-44(26,6)45(20,7)15-27(49)46(21)16-29(41)62-40(46)56)61-38-35(55)33(53)32(52)24(60-38)19-59-39-36(31(51)23(48)18-58-39)63-37-34(54)30(50)22(47)17-57-37/h8,21-39,47-55H,9-19H2,1-7H3/t21-,22+,23-,24+,25-,26+,27+,28-,29-,30-,31-,32+,33-,34+,35+,36+,37-,38-,39-,43-,44+,45+,46+/m0/s1",PVLIPPHITNPLBJ-XSLOFZTCSA-N,1,731.4370378,1.312340442
